,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Infrastructure and Market Access,Economic Quality,Living Conditions,Health,Education,Natural Environment,unusualness,hhi,width_90
Jordan,0.03434132212599483,0.05200597103308742,0.023588390754494037,0.2821364537327182,0.09909708000581202,0.13733821598252005,0.03958242520444894,0.08207223359953504,0.05567823862748485,0.011574016959049898,0.02070808008531614,0.1618775718895386,0.8833351906419803,0.1508931718666388,36.0
Kazakhstan,0.023400433371192894,0.2468551052683867,0.027701476881052046,0.060166725290816056,0.02130294185826918,0.009951784993470792,0.0436333726249388,0.19412872431165848,0.06348234607580684,0.012636413025480471,0.20687880553519372,0.08986187076373393,0.8298779157171365,0.16107879929277516,37.0
Kenya,0.2951921939680663,0.09451935081148566,0.03427229121492871,0.08393915500361392,0.11948748275182339,0.07317694986529996,0.028361916026020114,0.01612720940929102,0.16897627965043696,0.028622774163874105,0.031059859386293454,0.026264537748866553,0.9785970053914909,0.1560161075288976,30.0
Kuwait,0.10533243070335634,0.2399689588688594,0.012946756688865744,0.054759247898347956,0.026814020827986052,0.012392919863861216,0.02313691645327713,0.08519947702917986,0.11481442361840424,0.06298854072205655,0.016450376603568306,0.2451959307222371,0.5367216074866098,0.15805462734862644,29.0
Kyrgyzstan,0.1706095980755039,0.04409722423981824,0.08877784040395822,0.03406799653683678,0.04410768345758496,0.2180851496539742,0.13278906663102782,0.037070954171194145,0.0588877202972742,0.059373492855773195,0.06242293590242712,0.0497103377746271,0.5196611080352799,0.12196886143951016,20.0
Laos,0.14743159785884657,0.3942695103849473,0.01562742725445342,0.040904384293705645,0.12243987163054867,0.017988244749856733,0.07632132263968905,0.029548145558114604,0.024579726168030558,0.02123436880603629,0.026226167770788726,0.08342923288498236,1.1477180602769457,0.20981835444572441,34.0
Latvia,0.027689445419399106,0.07525697019277712,0.02151424386768179,0.10036022009051684,0.050605644767572275,0.04185084513175082,0.03383165978334015,0.02546940768205629,0.023519864884478867,0.09568923430139734,0.021745154182115665,0.4824673096969137,0.5577229827871985,0.2660282201299529,10.0
Lebanon,0.027341143236417214,0.04807883802932297,0.044357195565576935,0.32319587313283143,0.02141222898437047,0.013361755243846092,0.039945172938970326,0.1801550096138229,0.09587388911637462,0.03211114076228486,0.16440843567489974,0.009759317701282553,1.0803062012028604,0.18151901635003304,36.0
Lesotho,0.06258430821555855,0.1887587376245683,0.08243408744261532,0.012879715687526768,0.01582101738383436,0.01380788871941675,0.014933417485016741,0.010691271016006353,0.021130587884662103,0.23955880474555388,0.035207461449262296,0.3021927023459786,1.3272342754477158,0.19768111249713216,35.0
Liberia,0.03722903704211524,0.12811748329352987,0.03545408338425925,0.04369203215054863,0.034523759152606914,0.04114100491084794,0.21579558789582293,0.03606198091041089,0.027915082874910752,0.100684433699268,0.1628378049061347,0.13654770977954475,1.0458075882440367,0.12779678567414457,30.0
Libya,0.1832633619290331,0.018924141363812666,0.09725197282229371,0.013257686944575322,0.06372942316367088,0.088220669086187,0.015467970457967734,0.06466120443140519,0.20111322020495173,0.10500878844852146,0.06778470383455337,0.08131685731302783,0.9643227457090037,0.12252252108207233,34.0
Lithuania,0.04069065009368624,0.053366181817494265,0.04684690476145458,0.5572110048724411,0.021414539424798585,0.021127146700750433,0.018073599007738805,0.0207905946949572,0.013235191239059694,0.0460244321630273,0.028028353561117273,0.13319140166347446,0.6771597385363185,0.3396652141623544,11.0
Luxembourg,0.10614398793818319,0.04008292499057671,0.030667169242367134,0.17727855258198266,0.053742932529212216,0.08002261590652092,0.03729362985299661,0.06339238597813796,0.016155295891443648,0.02125895212966453,0.3084357331323031,0.06552581982661139,0.638568424293191,0.16008184997490205,8.0
Madagascar,0.024879726865349276,0.24430452796584592,0.02124138363331496,0.02627783179271527,0.019915500500442527,0.013533410415336638,0.03022209564482139,0.018998419977911032,0.4228558814090881,0.02970836703115962,0.061163002546158925,0.08689985221785636,0.8459195920244268,0.2542817001102295,29.0
Malawi,0.02211196025217036,0.2203805747646774,0.09068633244652975,0.12809888789033666,0.016426307960939013,0.03253238542728248,0.05643460362556224,0.047776338177674404,0.17849683449034065,0.021271689706462812,0.09176967488576734,0.09401441037225679,0.7088609408114452,0.13005948245432805,35.0
Malaysia,0.07257292554081782,0.462721512917003,0.025813318890211594,0.017538613723598523,0.1170099729003406,0.10790403598744504,0.03695031979854855,0.05597085799289505,0.03388115642765934,0.018087753248291934,0.018902059461279083,0.03264747311190975,0.45023531539686673,0.2530828811903379,15.0
Mali,0.22001677641236422,0.2117636203497882,0.03316612842343665,0.018001090466803676,0.03147171077465084,0.01460135050119532,0.01825022019041228,0.04109466090676509,0.018339135175942628,0.017295642326888398,0.323060017615233,0.05293964685651974,0.9669355954041893,0.20570659816006284,24.0
